name,health,sync,revision
1passwordconnect,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
argocd,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
cert-manager,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
cilium,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
database-redis-commander,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
database-redis-instance,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
external-secrets,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-cloudflared,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-container-registry,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-csi-driver-nfs,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-csi-driver-smb,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-external-dns,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-gateway,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-gpu-priority-classes,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-local-storage,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-longhorn-selinux,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-metrics-server,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-node-feature-discovery,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-nvidia-gpu-operator,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-rustfs-lifecycle,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-talos-fstrim,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
infrastructure-truenas-csi,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
keda,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
keda-observability,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
kopiur-config,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
kopiur-operator,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
longhorn,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-coroot,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-dozzle,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-holmesgpt,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-keep,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-loki-stack,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-pod-cleanup,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-prometheus-stack,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-tempo,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
monitoring-trivy-operator,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-cobalt,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-comfyui,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-consumers-energy-sync,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-convertx,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-copyparty,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-deal-scout,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-dvwa,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-echo-server,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-excalidraw,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-frigate,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-gitea,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-gitea-actions,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-headlamp,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-hindsight,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-home-assistant,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-homepage-dashboard,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-immich,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-intercept,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-it-tools,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-jellyfin,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-kafka,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-karakeep,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-kiwix,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-langfuse,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-litellm,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-llama-cpp,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-llmfit,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-mcp-grafana,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-n8n,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-news-reader,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-nginx,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-ninfer,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-open-webui,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-pairdrop,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-paperless-ngx,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-perplexica,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-posthog,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-presenton,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-project-nomad,Progressing,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-project-zomboid,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
my-apps-radar-ng,Healthy,Synced,89f63c86419f56b0b26c946553d1776e233c9b5a
