namespace,pod,node,version,currentMinor,minorCurrent,databaseNames,sizeMiB,processStartedAt,statsReset,podRestarts,fsync,fullPageWrites,synchronousCommit,checksums,checksumFailures,archiveMode,walLevel,ioTiming,walIoTiming,sharedBuffersMiB,connections,maxConnections,deadlocks,tempMiB,cacheHitPct,maxDatabaseXidAge,autovacuumFreezeMaxAge,autovacuum,maxTransactionAgeSeconds,lockWaits,preparedTransactions,physicalStandbys,logicalSlots,retainedSlotWalBytes,maxSlotWalKeepSize,walDirectoryMiB,pvc,longhornReplicas,dataWalSameFilesystem,externalTablespaces,backupPolicy,backupCronUtc,checkpointHook,lastBackupSucceededAt,backupExemption,postgresScraped,sampleSeconds,sampleCommitsPerSecond,sampleRollbacksPerSecond,sampleWalKiBPerSecond,sampleWalBuffersFull,meanCheckpointSyncMs,evidenceFile
gitea,gitea-postgres-65fc4884ff-n8x87,talos-prod-cluster-v2-gpu-workers-7ct4kq,18.6,18.6,True,gitea,29.13,2026-09-08T23:40:22.164654+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,4,100,0,0.0,99.966,131680,200000000,on,0,0,0,0,0,0,-1,32.0,gitea-postgres-data,1,True,0,gitea-postgres-data,13 * * * *,True,2026-09-08T23:14:57.432705291+00:00,,True,125.5,3.792,0.0,0.258,0,39.2,gitea.json
hindsight,hindsight-db-666999b8b-ptqff,talos-prod-cluster-v2-dell-workers-nkq6qd,16.15,16.15,True,hindsight,16.51,2026-09-05T23:24:24.128188+00:00,,0,on,on,on,off,,off,replica,off,off,128.0,2,100,0,0.0,99.989,111,200000000,on,0,0,0,0,0,0,-1,32.0,hindsight-db-pvc,1,True,0,hindsight-db-pvc,57 3 * * *,True,2026-09-08T03:59:00.861404659+00:00,,False,125.9,6.846,0.0,0.0,0,0.02,hindsight.json
immich,immich-postgres-98d5754fb-c6xft,talos-prod-cluster-v2-gpu-workers-7ct4kq,17.6,17.11,False,immich,148.63,2026-09-08T23:40:15.058267+00:00,,0,on,on,on,on,0,off,replica,off,off,512.0,1,100,0,0.0,97.786,966,200000000,on,0,0,0,0,0,0,-1,128.0,immich-postgres-data,1,True,0,immich-postgres-data,23 * * * *,True,2026-09-08T23:25:12.944459674+00:00,,False,125.4,0.311,0.0,0.0,0,1.2,immich.json
intercept,intercept-postgres-8f5f4c857-6lgxn,talos-prod-cluster-v2-dell-workers-nkq6qd,18.6,18.6,True,intercept_adsb,2522.56,2026-09-08T23:40:12.289592+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,1,100,0,0.0,97.588,248155,200000000,on,0,0,0,0,0,0,-1,80.0,intercept-postgres-data,1,True,0,intercept-postgres-data,1 * * * *,True,2026-09-09T00:03:09.299409157+00:00,,False,124.8,0.313,0.0,0.0,0,13.5,intercept.json
keep,keep-postgres-77fd994b4f-9hldn,talos-prod-cluster-v2-gpu-workers-7ct4kq,18.6,18.6,True,keep,126.36,2026-09-08T23:39:49.772919+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,21,100,0,0.0,99.109,182676,200000000,on,0,0,0,0,0,0,-1,32.0,keep-postgres-data,1,True,0,,,False,,Alert history is monitoring data; providers/workflows re-provision from git,False,124.0,0.306,4.009,0.002,0,80.2,keep.json
langfuse,langfuse-postgres-6886646499-pp5fn,talos-prod-cluster-v2-gpu-workers-7ct4kq,18.6,18.6,True,langfuse,20.16,2026-09-07T17:24:35.02539+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,11,100,0,0.0,99.956,1984,200000000,on,0,0,0,0,0,0,-1,32.0,langfuse-postgres-data,1,True,0,langfuse-postgres-data,16 * * * *,True,2026-09-08T23:20:02.032598514+00:00,,False,124.0,0.823,0.0,0.0,0,10.16,langfuse.json
paperless-ngx,paperless-postgres-64c6bbdbb4-jbgsn,talos-prod-cluster-v2-hp-sff-workers-rldgrj,18.6,18.6,True,paperless,22.55,2026-09-05T23:15:15.247445+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,4,100,0,0.0,99.999,9977,200000000,on,0,0,0,0,0,0,-1,32.0,paperless-postgres-data,1,True,0,paperless-postgres-data,4 * * * *,True,2026-09-09T00:05:21.606802151+00:00,,True,123.3,2.256,0.0,1.181,0,37.17,paperless-ngx.json
posthog,db-75644b5c7d-sbffg,talos-prod-cluster-v2-gpu-workers-7ct4kq,15.12,15.19,False,posthog,2587.18,2026-09-06T05:49:36.852385+00:00,,0,on,on,on,off,,off,replica,off,off,128.0,4,100,0,0.0,99.748,1105038,200000000,on,0,0,0,0,0,0,-1,64.0,postgres-data,1,True,0,postgres-data,51 3 * * *,True,2026-09-08T03:54:27.081635080+00:00,,False,122.6,8.317,0.0,4.193,0,16.76,posthog.json
surfsense,surfsense-postgres-f7d65b94d-ggkbg,talos-prod-cluster-v2-hp-sff-workers-rldgrj,17.11,17.11,True,surfsense,196.9,2026-09-05T23:34:25.81557+00:00,,0,on,on,on,on,0,off,logical,off,off,128.0,22,200,0,0.0,99.971,64347,200000000,on,0,0,0,0,1,56,-1,80.0,surfsense-postgres-data,1,True,0,surfsense-postgres-data,47 * * * *,True,2026-09-08T23:48:38.505964675+00:00,,False,122.6,0.343,0.277,0.007,0,3.68,surfsense.json
temporal,temporal-postgres-6c4c7b56f9-8p8ht,talos-prod-cluster-v2-hp-sff-workers-rldgrj,17.11,17.11,True,"temporal, temporal_visibility",794.57,2026-09-08T23:40:00.061141+00:00,,0,on,on,on,on,0,off,replica,off,off,128.0,15,100,0,0.0,99.129,2936579,200000000,on,0,0,0,0,0,0,-1,80.0,temporal-postgres-data,2,True,0,temporal-postgres-data,6 * * * *,True,2026-09-08T23:08:24.088844915+00:00,,True,122.1,24.645,0.0,29.97,0,45.2,temporal.json
