namespace,pvc,phase,storage_class,access_modes,requested_size,pv,csi_driver,longhorn_desired_replicas,longhorn_state,longhorn_robustness,replica_objects,running_nonfailed_replica_count,replica_physical_hosts,consumers,backup_policy,backup_exempt,backup_exempt_reason,last_success,backup_age_hours,backup_cron,schedule_consecutive_failures,latest_snapshot_state,latest_snapshot_failure_class
comfyui,comfyui-storage-smb,Bound,,"[""ReadWriteMany""]",250Gi,comfyui-smb-pv,smb.csi.k8s.io,,,,[],0,[],[],,true,"SMB-backed ComfyUI model and workspace cache; non-snapshottable, rebuildable from upstream model registries",,,,,,
consumers-energy-sync,consumers-energy-sync-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-cde9b219-6038-4b04-b757-2d59a5f2fa5d,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T17:17:39Z"", ""active"": true}]",0,"[""threadripper/192.168.10.14""]",[],,true,Playwright cookie jar plus re-downloadable CSVs; the data of record is Home Assistant's statistics,,,,,,
copyparty,copyparty-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-0d5642cd-6268-4db7-9a32-38f631106346,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:16:18Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""copyparty-ccf798b7b-vfd75""]",copyparty-data,,,2026-09-08T03:33:12.561673396+00:00,20.15,31 3 * * *,0,Succeeded,
coroot,data-coroot-clickhouse-keeper-0,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-0f05a2cb-9960-4d09-a31d-9caded0435bc,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T22:57:31Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-0""]",,,,,,,,,
coroot,data-coroot-clickhouse-keeper-1,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-4313143a-81f9-4078-a1f1-9ee4b3f38f33,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:20:56Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-1""]",,,,,,,,,
coroot,data-coroot-clickhouse-keeper-2,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-29395be5-3add-4377-ba94-5692d7202a64,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:05Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-2""]",,,,,,,,,
coroot,data-coroot-clickhouse-shard-0-0,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-f2f7c176-5b44-4e1c-a4f6-820cbfbec801,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:19:41Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-shard-0-0""]",,,,,,,,,
coroot,data-coroot-coroot-0,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-fd947edd-1601-4fbe-bebf-64563fbb2a9d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:19:06Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-coroot-0""]",,,,,,,,,
coroot,data-coroot-prometheus,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-b444215c-474d-43c1-9472-4ed2e3f822a4,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:22:01Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-prometheus-9ddf46c9d-bxb7s""]",,,,,,,,,
deal-scout,deal-scout-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-ac4a3d04-7ea4-4646-87a9-246a1426f52d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:37Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""deal-scout-6c7d99cdcf-jqh7r""]",deal-scout-data,,,2026-09-08T03:56:50.781348234+00:00,19.75,55 3 * * *,0,Succeeded,
