namespace,kind,workload,desired,ready,strategy,replica_nodes,replica_physical_hosts,rwo_pvcs,rolling_rwo,containers,missing_readiness,missing_liveness,topology_spread,pod_anti_affinity
1passwordconnect,Deployment,onepassword-connect,2,2,RollingUpdate,"[""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-elite-mini/192.168.10.22"", ""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""connect-api"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}, {""name"": ""connect-sync"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,True
1passwordconnect,Deployment,onepassword-connect-operator,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""onepassword-connect"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,False
argocd,Deployment,argocd-applicationset-controller,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-elite-workers-rgkw5s""]","[""hp-elite-mini/192.168.10.22""]",[],False,"[{""name"": ""applicationset-controller"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""applicationset-controller""]","[""applicationset-controller""]",False,True
argocd,Deployment,argocd-redis,1,1,RollingUpdate,"[""talos-prod-cluster-v2-gpu-workers-7ct4kq""]","[""threadripper/192.168.10.14""]",[],False,"[{""name"": ""redis"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""redis""]","[""redis""]",False,True
argocd,Deployment,argocd-repo-server,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-elite-workers-rgkw5s""]","[""hp-elite-mini/192.168.10.22""]",[],False,"[{""name"": ""repo-server"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,True
argocd,Deployment,argocd-server,1,1,RollingUpdate,"[""talos-prod-cluster-v2-gpu-workers-7ct4kq""]","[""threadripper/192.168.10.14""]",[],False,"[{""name"": ""server"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,True
cert-manager,Deployment,cert-manager,1,1,RollingUpdate,"[""talos-prod-cluster-v2-control-planes-djzhc6""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cert-manager-controller"", ""readiness"": null, ""liveness"": ""httpGet"", ""startup"": false}]","[""cert-manager-controller""]",[],False,False
cert-manager,Deployment,cert-manager-cainjector,1,1,RollingUpdate,"[""talos-prod-cluster-v2-control-planes-djzhc6""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cert-manager-cainjector"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""cert-manager-cainjector""]","[""cert-manager-cainjector""]",False,False
cert-manager,Deployment,cert-manager-webhook,1,1,RollingUpdate,"[""talos-prod-cluster-v2-control-planes-djzhc6""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cert-manager-webhook"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,False
cloudflared,Deployment,cloudflared,3,3,RollingUpdate,"[""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""dell/192.168.10.16"", ""hp-elite-mini/192.168.10.22"", ""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cloudflared"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],True,True
cobalt,Deployment,cobalt,1,1,Recreate,"[""talos-prod-cluster-v2-dell-workers-nkq6qd""]","[""dell/192.168.10.16""]",[],False,"[{""name"": ""cobalt"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,False
cobalt,Deployment,cobalt-web,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cobalt-web"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": true}]",[],[],False,False
comfyui,Deployment,comfyui,0,0,Recreate,[],[],[],False,"[{""name"": ""comfyui"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,False
convertx,Deployment,convertx,1,1,RollingUpdate,"[""talos-prod-cluster-v2-dell-workers-nkq6qd""]","[""dell/192.168.10.16""]",[],False,"[{""name"": ""convertx"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""convertx""]","[""convertx""]",False,False
copyparty,Deployment,copyparty,1,1,Recreate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]","[""copyparty-data""]",False,"[{""name"": ""copyparty"", ""readiness"": ""httpGet"", ""liveness"": ""httpGet"", ""startup"": false}]",[],[],False,False
coroot,Deployment,coroot-cluster-agent,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""cluster-agent"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""cluster-agent""]","[""cluster-agent""]",False,False
coroot,Deployment,coroot-operator,1,1,RollingUpdate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""operator"", ""readiness"": null, ""liveness"": null, ""startup"": false}]","[""operator""]","[""operator""]",False,False
coroot,Deployment,coroot-prometheus,1,1,Recreate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]","[""data-coroot-prometheus""]",False,"[{""name"": ""prometheus"", ""readiness"": ""httpGet"", ""liveness"": null, ""startup"": false}]",[],"[""prometheus""]",False,False
csi-driver-nfs,Deployment,csi-nfs-controller,1,1,Recreate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""csi-provisioner"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""csi-resizer"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""csi-snapshotter"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""liveness-probe"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""nfs"", ""readiness"": null, ""liveness"": ""httpGet"", ""startup"": false}]","[""csi-provisioner"", ""csi-resizer"", ""csi-snapshotter"", ""liveness-probe"", ""nfs""]","[""csi-provisioner"", ""csi-resizer"", ""csi-snapshotter"", ""liveness-probe""]",False,False
csi-driver-smb,Deployment,csi-smb-controller,1,1,Recreate,"[""talos-prod-cluster-v2-hp-sff-workers-rldgrj""]","[""hp-medium/192.168.10.21""]",[],False,"[{""name"": ""csi-provisioner"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""csi-resizer"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""liveness-probe"", ""readiness"": null, ""liveness"": null, ""startup"": false}, {""name"": ""smb"", ""readiness"": null, ""liveness"": ""httpGet"", ""startup"": false}]","[""csi-provisioner"", ""csi-resizer"", ""liveness-probe"", ""smb""]","[""csi-provisioner"", ""csi-resizer"", ""liveness-probe""]",False,False
