name,path,ns,wave,type
1passwordconnect,infrastructure/controllers/1passwordconnect,1passwordconnect,0,Application
argocd,infrastructure/controllers/argocd,argocd,0,Application
cert-manager,infrastructure/controllers/cert-manager,cert-manager,1,Application
cilium,infrastructure/networking/cilium,kube-system,0,Application
external-secrets,infrastructure/controllers/external-secrets,external-secrets,0,Application
keda,infrastructure/controllers/keda,keda,4,Application
keda-observability,infrastructure/controllers/keda-observability,keda,6,Application
kopiur-config,infrastructure/controllers/kopiur,kopiur-system,3,Application
kopiur-operator,infrastructure/controllers/kopiur-operator,kopiur-system,2,Application
longhorn,infrastructure/storage/longhorn,longhorn-system,1,Application
opentelemetry-operator,infrastructure/controllers/opentelemetry-operator,opentelemetry,5,Application
opentelemetry-operator-observability,infrastructure/controllers/opentelemetry-operator-observability,opentelemetry,6,Application
snapshot-controller,infrastructure/storage/snapshot-controller,snapshot-controller,1,Application
strimzi,infrastructure/controllers/strimzi,kafka,4,Application
temporal-worker-controller,infrastructure/controllers/temporal-worker-controller,temporal-worker-controller,4,Application
vertical-pod-autoscaler,infrastructure/controllers/vertical-pod-autoscaler,vertical-pod-autoscaler,4,Application
vertical-pod-autoscaler-observability,infrastructure/controllers/vertical-pod-autoscaler-observability,vertical-pod-autoscaler,6,Application
vpa-recommendations,infrastructure/controllers/vpa-system-policies,vertical-pod-autoscaler,4,Application
database-redis-instance,infrastructure/database/redis/redis-instance,redis-instance,4,database
database-redis-commander,infrastructure/database/redis/redis-commander,redis-commander,4,database
infrastructure-external-dns,infrastructure/controllers/external-dns,external-dns,4,infrastructure
infrastructure-gpu-priority-classes,infrastructure/controllers/gpu-priority-classes,gpu-priority-classes,4,infrastructure
infrastructure-node-feature-discovery,infrastructure/controllers/node-feature-discovery,node-feature-discovery,4,infrastructure
infrastructure-nvidia-gpu-operator,infrastructure/controllers/nvidia-gpu-operator,nvidia-gpu-operator,4,infrastructure
infrastructure-metrics-server,infrastructure/controllers/metrics-server,metrics-server,4,infrastructure
infrastructure-cloudflared,infrastructure/networking/cloudflared,cloudflared,4,infrastructure
infrastructure-gateway,infrastructure/networking/gateway,gateway,4,infrastructure
infrastructure-container-registry,infrastructure/storage/container-registry,container-registry,4,infrastructure
infrastructure-csi-driver-nfs,infrastructure/storage/csi-driver-nfs,csi-driver-nfs,4,infrastructure
infrastructure-csi-driver-smb,infrastructure/storage/csi-driver-smb,csi-driver-smb,4,infrastructure
infrastructure-truenas-csi,infrastructure/storage/truenas-csi,truenas-csi,4,infrastructure
infrastructure-local-storage,infrastructure/storage/local-storage,local-storage,4,infrastructure
infrastructure-talos-fstrim,infrastructure/storage/talos-fstrim,talos-fstrim,4,infrastructure
infrastructure-rustfs-lifecycle,infrastructure/storage/rustfs-lifecycle,rustfs-lifecycle,4,infrastructure
monitoring-trivy-operator,monitoring/trivy-operator,trivy-operator,5,monitoring
monitoring-tempo,monitoring/tempo,tempo,5,monitoring
monitoring-prometheus-stack,monitoring/prometheus-stack,prometheus-stack,5,monitoring
monitoring-pod-cleanup,monitoring/pod-cleanup,pod-cleanup,5,monitoring
monitoring-loki-stack,monitoring/loki-stack,loki-stack,5,monitoring
monitoring-keep,monitoring/keep,keep,5,monitoring
monitoring-holmesgpt,monitoring/holmesgpt,holmesgpt,5,monitoring
monitoring-dozzle,monitoring/dozzle,dozzle,5,monitoring
monitoring-coroot,monitoring/coroot,coroot,5,monitoring
my-apps-vert,my-apps/utility/vert,vert,6,my-apps
my-apps-stirling-pdf,my-apps/utility/stirling-pdf,stirling-pdf,6,my-apps
my-apps-pairdrop,my-apps/utility/pairdrop,pairdrop,6,my-apps
my-apps-it-tools,my-apps/utility/it-tools,it-tools,6,my-apps
my-apps-fizzy,my-apps/utility/fizzy,fizzy,6,my-apps
my-apps-excalidraw,my-apps/utility/excalidraw,excalidraw,6,my-apps
my-apps-deal-scout,my-apps/utility/deal-scout,deal-scout,6,my-apps
my-apps-convertx,my-apps/utility/convertx,convertx,6,my-apps
my-apps-restore-canary,my-apps/system/restore-canary,restore-canary,6,my-apps
my-apps-searxng,my-apps/privacy/searxng,searxng,6,my-apps
my-apps-worldmonitor,my-apps/media/worldmonitor,worldmonitor,6,my-apps
my-apps-tubesync,my-apps/media/tubesync,tubesync,6,my-apps
my-apps-redlib,my-apps/media/redlib,redlib,6,my-apps
my-apps-kiwix,my-apps/media/kiwix,kiwix,6,my-apps
my-apps-karakeep,my-apps/media/karakeep,karakeep,6,my-apps
my-apps-jellyfin,my-apps/media/jellyfin,jellyfin,6,my-apps
my-apps-immich,my-apps/media/immich,immich,6,my-apps
my-apps-homepage-dashboard,my-apps/media/homepage-dashboard,homepage-dashboard,6,my-apps
my-apps-echo-server,my-apps/media/echo-server,echo-server,6,my-apps
my-apps-copyparty,my-apps/media/copyparty,copyparty,6,my-apps
my-apps-cobalt,my-apps/media/cobalt,cobalt,6,my-apps
my-apps-versatiles,my-apps/maps/versatiles,versatiles,6,my-apps
my-apps-wyze-bridge,my-apps/home/wyze-bridge,wyze-bridge,6,my-apps
my-apps-project-zomboid,my-apps/home/project-zomboid,project-zomboid,6,my-apps
my-apps-project-nomad,my-apps/home/project-nomad,project-nomad,6,my-apps
my-apps-paperless-ngx,my-apps/home/paperless-ngx,paperless-ngx,6,my-apps
my-apps-n8n,my-apps/home/n8n,n8n,6,my-apps
my-apps-intercept,my-apps/home/intercept,intercept,6,my-apps
my-apps-home-assistant,my-apps/home/home-assistant,home-assistant,6,my-apps
my-apps-frigate,my-apps/home/frigate,frigate,6,my-apps
my-apps-consumers-energy-sync,my-apps/home/consumers-energy-sync,consumers-energy-sync,6,my-apps
my-apps-temporal,my-apps/development/temporal,temporal,6,my-apps
my-apps-renovate,my-apps/development/renovate,renovate,6,my-apps
my-apps-radar-ng,my-apps/development/radar-ng,radar-ng,6,my-apps
my-apps-posthog,my-apps/development/posthog,posthog,6,my-apps
my-apps-nginx,my-apps/development/nginx,nginx,6,my-apps
my-apps-news-reader,my-apps/development/news-reader,news-reader,6,my-apps
my-apps-mailpit,my-apps/development/mailpit,mailpit,6,my-apps
my-apps-kafka,my-apps/development/kafka,kafka,6,my-apps
my-apps-headlamp,my-apps/development/headlamp,headlamp,6,my-apps
my-apps-gitea,my-apps/development/gitea,gitea,6,my-apps
my-apps-gitea-actions,my-apps/development/gitea-actions,gitea-actions,6,my-apps
my-apps-dvwa,my-apps/development/dvwa,dvwa,6,my-apps
my-apps-vllm,my-apps/ai/vllm,vllm,6,my-apps
my-apps-swarmui,my-apps/ai/swarmui,swarmui,6,my-apps
my-apps-surfsense,my-apps/ai/surfsense,surfsense,6,my-apps
my-apps-presenton,my-apps/ai/presenton,presenton,6,my-apps
my-apps-perplexica,my-apps/ai/perplexica,perplexica,6,my-apps
my-apps-open-webui,my-apps/ai/open-webui,open-webui,6,my-apps
my-apps-ninfer,my-apps/ai/ninfer,ninfer,6,my-apps
my-apps-llmfit,my-apps/ai/llmfit,llmfit,6,my-apps
my-apps-llama-cpp,my-apps/ai/llama-cpp,llama-cpp,6,my-apps
my-apps-litellm,my-apps/ai/litellm,litellm,6,my-apps
my-apps-hindsight,my-apps/ai/hindsight,hindsight,6,my-apps
my-apps-comfyui,my-apps/ai/comfyui,comfyui,6,my-apps
