namespace,claim,phase,storage_class,requested_storage,csi_driver,backup_exempt,replicas,robustness,engine_node,replica_zones
comfyui,comfyui-storage-smb,Bound,,250Gi,smb.csi.k8s.io,True,,,,
consumers-energy-sync,consumers-energy-sync-data,Bound,longhorn,1Gi,driver.longhorn.io,True,1,unknown,,hp-elite
copyparty,copyparty-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
coroot,data-coroot-clickhouse-keeper-0,Bound,longhorn,2Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
coroot,data-coroot-clickhouse-keeper-1,Bound,longhorn,2Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
coroot,data-coroot-clickhouse-keeper-2,Bound,longhorn,2Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
coroot,data-coroot-clickhouse-shard-0-0,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
coroot,data-coroot-coroot-0,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
coroot,data-coroot-prometheus,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
deal-scout,deal-scout-data,Bound,longhorn,1Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
dozzle,dozzle-data,Bound,longhorn,1Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
fizzy,data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
frigate,frigate-config,Bound,longhorn,10Gi,driver.longhorn.io,False,1,unknown,,house
frigate,frigate-media,Bound,frigate-smb,1Ti,smb.csi.k8s.io,True,,,,
frigate,mosquitto-storage-pvc,Bound,longhorn,5Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
gitea-actions,act-runner-docker-cache,Bound,longhorn,50Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
gitea,gitea-postgres-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
gitea,gitea-shared-storage,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
hindsight,hindsight-db-pvc,Bound,longhorn,5Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
home-assistant,config,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
homepage-dashboard,config,Bound,longhorn,5Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
immich,immich-ml-cache,Bound,longhorn,20Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
immich,immich-postgres-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
immich,library,Bound,longhorn,50Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
immich,nfs-photos,Bound,,2Ti,nfs.csi.k8s.io,True,,,,
intercept,intercept-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-micro-workers-7wwjmh,hp-sff
intercept,intercept-postgres-data,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
jellyfin,config,Bound,longhorn,5Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-dell-workers-nkq6qd,dell
jellyfin,jellyfin-media,Bound,,1Gi,smb.csi.k8s.io,True,,,,
karakeep,data-pvc,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
karakeep,meilisearch-pvc,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
keep,keep-postgres-data,Bound,longhorn,5Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-elite-workers-rgkw5s,hp-elite
kiwix,kiwix-data,Bound,kiwix-smb,100Gi,smb.csi.k8s.io,True,,,,
kube-system,registry,Bound,longhorn,50Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
llama-cpp,ai-model-cache,Bound,ai-model-cache-local,450Gi,,True,,,,
llama-cpp,llama-cpp-models-pvc,Bound,nfs-llama-cpp-10g,150Gi,nfs.csi.k8s.io,True,,,,
loki-stack,data-loki-backend-0,Bound,longhorn-flash,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,house
loki-stack,data-loki-write-0,Bound,longhorn-flash,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
n8n,data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
nginx-example,storage,Bound,longhorn,5Gi,driver.longhorn.io,False,1,unknown,,house
ninfer,ninfer-models-pvc,Bound,,150Gi,nfs.csi.k8s.io,True,,,,
open-webui,storage,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
paperless-ngx,data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
paperless-ngx,media,Bound,longhorn,20Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
paperless-ngx,paperless-consume-pvc,Bound,longhorn,10Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
paperless-ngx,paperless-export-pvc,Bound,longhorn,10Gi,driver.longhorn.io,True,1,healthy,talos-prod-cluster-v2-hp-sff-workers-rldgrj,hp-sff
paperless-ngx,paperless-postgres-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
perplexica,perplexica-data,Bound,longhorn,10Gi,driver.longhorn.io,False,1,healthy,talos-prod-cluster-v2-gpu-workers-7ct4kq,house
