path,namespace,kind,workload,replicas,container,image,requests_cpu,requests_memory,limits_cpu,limits_memory,probes,pvc,node_selector,host_network,service_account
infrastructure/controllers/1passwordconnect,1passwordconnect,Deployment,onepassword-connect,2,connect-api,1password/connect-api:1.8.2,100m,150Mi,,300Mi,"readinessProbe,livenessProbe",[],{},False,default
infrastructure/controllers/1passwordconnect,1passwordconnect,Deployment,onepassword-connect,2,connect-sync,1password/connect-sync:1.8.2,100m,150Mi,,300Mi,"readinessProbe,livenessProbe",[],{},False,default
infrastructure/controllers/1passwordconnect,1passwordconnect,Deployment,onepassword-connect-operator,1,onepassword-connect,1password/onepassword-operator:1.12.0,100m,150Mi,,300Mi,"readinessProbe,livenessProbe",[],{},False,onepassword-connect-operator
infrastructure/controllers/argocd,argocd,Deployment,argocd-applicationset-controller,1,applicationset-controller,quay.io/argoproj/argocd:v3.5.2,100m,128Mi,,512Mi,,[],"{""kubernetes.io/os"": ""linux""}",False,argocd-applicationset-controller
infrastructure/controllers/argocd,argocd,Deployment,argocd-redis,1,redis,ecr-public.aws.com/docker/library/redis:8.6.4-alpine,25m,64Mi,,256Mi,,[],"{""kubernetes.io/os"": ""linux""}",False,default
infrastructure/controllers/argocd,argocd,Deployment,argocd-repo-server,1,repo-server,quay.io/argoproj/argocd:v3.5.2,1000m,768Mi,,4Gi,"readinessProbe,livenessProbe",[],"{""kubernetes.io/os"": ""linux""}",False,argocd-repo-server
infrastructure/controllers/argocd,argocd,Deployment,argocd-server,1,server,quay.io/argoproj/argocd:v3.5.2,50m,512Mi,,1Gi,"readinessProbe,livenessProbe",[],"{""kubernetes.io/os"": ""linux""}",False,argocd-server
infrastructure/controllers/argocd,argocd,StatefulSet,argocd-application-controller,1,application-controller,quay.io/argoproj/argocd:v3.5.2,2000m,4Gi,,6Gi,readinessProbe,[],"{""kubernetes.io/os"": ""linux""}",False,argocd-application-controller
infrastructure/controllers/cert-manager,cert-manager,Deployment,cert-manager,1,cert-manager-controller,quay.io/jetstack/cert-manager-controller:v1.21.1,20m,128Mi,,256Mi,livenessProbe,[],"{""kubernetes.io/os"": ""linux"", ""node-role.kubernetes.io/control-plane"": """"}",False,cert-manager
infrastructure/controllers/cert-manager,cert-manager,Deployment,cert-manager-cainjector,1,cert-manager-cainjector,quay.io/jetstack/cert-manager-cainjector:v1.21.1,20m,192Mi,,384Mi,,[],"{""kubernetes.io/os"": ""linux"", ""node-role.kubernetes.io/control-plane"": """"}",False,cert-manager-cainjector
infrastructure/controllers/cert-manager,cert-manager,Deployment,cert-manager-webhook,1,cert-manager-webhook,quay.io/jetstack/cert-manager-webhook:v1.21.1,15m,128Mi,,256Mi,"readinessProbe,livenessProbe",[],"{""kubernetes.io/os"": ""linux"", ""node-role.kubernetes.io/control-plane"": """"}",False,cert-manager-webhook
infrastructure/controllers/cert-manager,cert-manager,Job,cert-manager-startupapicheck,1,cert-manager-startupapicheck,quay.io/jetstack/cert-manager-startupapicheck:v1.21.1,,,,,,[],"{""kubernetes.io/os"": ""linux""}",False,cert-manager-startupapicheck
infrastructure/networking/cilium,kube-system,Deployment,cilium-operator,2,cilium-operator,quay.io/cilium/operator-generic:v1.20.1@sha256:6c3885fc7b629099fdbe2a5c87869c86feb825fa18fae299eac0f61918d16ecf,200m,256Mi,,1Gi,"readinessProbe,livenessProbe",[],"{""kubernetes.io/os"": ""linux""}",True,cilium-operator
infrastructure/networking/cilium,kube-system,Deployment,hubble-relay,1,hubble-relay,quay.io/cilium/hubble-relay:v1.20.1@sha256:59be0ae7d475ab9011a5e954618c0f27b5778b17140381425b308b55ba4917f4,,,,,"readinessProbe,livenessProbe,startupProbe",[],"{""kubernetes.io/os"": ""linux""}",False,hubble-relay
infrastructure/networking/cilium,kube-system,Deployment,hubble-ui,1,frontend,quay.io/cilium/hubble-ui:v0.13.5@sha256:f7d514fc54d784ed6df9d58cf0e97648b143f92b766dd1780ed3fc845bd4c516,,,,,"readinessProbe,livenessProbe",[],"{""kubernetes.io/os"": ""linux""}",False,hubble-ui
infrastructure/networking/cilium,kube-system,Deployment,hubble-ui,1,backend,quay.io/cilium/hubble-ui-backend:v0.13.5@sha256:fac0c300ae119274edca11fd89b1ad23c788792d8bc4ea2ba631c709e8d3c688,,,,,,[],"{""kubernetes.io/os"": ""linux""}",False,hubble-ui
